numero_expediente,empresa,estado,municipio_o_delegacion,clinica_veterinaria,farmacia_veterinaria,hospital_veterinario
0001-27-14,Jesus Fernando Hernandez Hernandez,Tabasco,Tabasco,si,si,si
0004-09-14,Diana Iris Santiago Lopez,Ciudad de Mexico,Benito Juarez,si,si,no
0005-09-14,Karina Barrios Zarate,Ciudad de Mexico,Alvaro Obregon,si,si,no
0006-09-14,Norma Silvia Perez Gallardo,Ciudad de Mexico,Xochimilco,si,no,no
0007-14-14,Jose Jaime Andrade Garcia,Jalisco,Zapopan,si,no,no
0008-14-14,Samantha Estefania Andrade Sanchez,Jalisco,Guadalajara,si,no,no
0009-14-14,Paola Montserrat Andrade Sanchez,Jalisco,Zapopan,si,no,no
0010-09-14,Luis Antonio Razo Toro,Ciudad de Mexico,Coyoacan,no,no,no
0011-09-14,Areli Josefina Carmona Altamirano,Ciudad de Mexico,Benito Juarez,no,no,no
0012-02-14,Carpio Obeso Ruben,Baja California,Mexicali,si,si,no
0013-30-14,Luis Juan Gutierrez Diaz,Veracruz,Fortin,si,si,no
0014-19-14,Rosa Catalina Alvarado Rocha,Nuevo Leon,Linares,si,si,no
0015-09-14,Jonathan Gomez Jimenez,Ciudad de Mexico,Iztapalapa,si,no,no
0016-09-14,Martinez Barton Billy Jack,Ciudad de Mexico,Iztacalco,si,no,no
0017-09-14,Petsmania Mexico SA de CV,Ciudad de Mexico,Tlalpan,no,no,no
0018-09-14,Monica Elena Hernandez Urbina,Ciudad de Mexico,Iztacalco,si,no,no
0019-09-14,Villanueva Arenales Gerardo,Ciudad de Mexico,Iztacalco,si,no,si
0020-09-14,Veronica Catalina Rivas Martinez,Ciudad de Mexico,Venustiano Carranza,si,no,no
0021-09-14,Anna Kathy Mitchell Arana,Ciudad de Mexico,Coyoacan,si,no,no
0022-09-14,Celestino del Rio Gil,Ciudad de Mexico,Coyoacan,si,no,no
0023-09-14,Maria Andrea Suarez Vazquez,Ciudad de Mexico,Iztacalco,no,no,no
0024-09-14,Deborah Sades Bronsoler,Ciudad de Mexico,Miguel Hidalgo,si,no,si
